"Project 
Name",Company,"Plant 
Name","Storage and/or 
Capture","Overall 
Status","Plant 
Status","Project 
Phase","Country
Location","State 
Location","Specific 
Site Location","Plant Size or 
Capture Amount","Power or 
Capture Unit","Combustion/
Separation","Capture 
Technology","Amount of CO2 
Captured/Stored","Captured/Stored 
Unit","Project 
Summary","Project 
Start Date","Project 
Cost",Currency,"Project Information 
Webpage"
Galilee Power Project,Waratah Coal,Galilee Power Station,Capture and Storage,Potential,Planned,Developing Infrastructure,Australia,Queensland,Galilee Basin,900,Megawatt,Pre-Combustion,,,,Project will construct a 900-MW coal-fired power plant that incorporates carbon capture and storage.,09/01/2009,1250000000,US Dollar,https://www.statedevelopment.qld.gov.au/assessments-and-approvals/galilee-basin-power-station.html
Geologic Characterization of the South Georgia Rift Basin for Source Proximal CO2 Storage,South Carolina Research Foundation,,Storage,Completed,,,United States,South Carolina,South Carolina and North Georgia,,,,,,,Evaluate the feasibility of storing CO2 in the Jurassic and Triassic strata of the buried South Georgia Rift Basin.,12/08/2009,12822125,US Dollar,http://www.netl.doe.gov/File%20Library/Events/2014/carbon_storage/6--Michael-Waddell.pdf
Gorgon Project,Chevron,CO2 Separated During LNG Process,Capture and Storage,Active,Existing,Plant in Operation,Australia,Western Australia,Barrow Islands,41099.9986343086,Metric Tons Per Day,Separation,,9041.99969954789,Metric Tons Per Day,"Natural gas will be produced from sub-sea wells and transported to Barrow Island via pipelines at Barrow Island, at which the gas will be processed into LNG. CO2 will be separated (approx. 2.5 to 3 million tons/year) and reinjected into the gas field.",01/01/2009,54000000000,Australian Dollar,http://www.chevronaustralia.com/our-businesses/gorgon
Great Lakes Energy Research Park,"M&M Energy, LLC",Alma IGCC Plant,Capture and Storage,Active,Planned,Planning,United States,Michigan,Alma,250,Megawatt,Pre-Combustion,ConocoPhillips E-Gas Gasification,90,% Reduction,"The IGCC plant will be a polygeneration plant producing steam, electricity, and hydrogen. The plant will use ConocoPhillips E-Gas technology. Captured CO2 will be used recover up to 1 billion barrels of ""stranded oil"" from the Michigan Basin using EOR.",01/01/2015,2000000000,US Dollar,http://www.mandmenergy.com/index-2.html
Great River Energy,EPRI - Electric Power Research Institute,Coal Creek Station,Capture,Active,Existing,Plant in Operation,United States,North Dakota,Underwood,1100,Megawatt,Post-Combustion,Amines,80,% Reduction,"EPRI, along with other corporations and companies, is conducting a study on impacts and ability of retrofitting advanced amine-based CO2 capture technology with current plants.",01/01/2009,,US Dollar,https://www.netl.doe.gov/File%20Library/Research/Coal/major%20demonstrations/ccpi/lignite/Great-River-Energy--Coal-Creek-Station-Rnd-1-Projet-Presenta.pdf
Greengen Project in China,GreenGen Co. Ltd.,400-MW Gassification Plant,Capture and Storage,Active,In Development,Developing Infrastructure,China,,Tianjin,400,Megawatt,Pre-Combustion,,,,"The activities include coal gasification, hydrogen production and power generation, and carbon sequestration. Technical goals are to complete an industrial demonstration project of 400 MW before 2020. Approx. 2 million metric tons of CO2 to be captured.",12/01/2009,1500000000,US Dollar,http://sequestration.mit.edu/tools/projects/greengen.html
Gulf of Mexico Miocene Mega Transect Site Characterization,University of Texas at Austin,,Storage,Completed,,,United States,Texas,Texas coastline,,,,,,,Objective is to identify at least one specific site within Texas offshore state lands capable of storing at least 30 million tons of CO2.,12/08/2009,12044350,US Dollar,http://www.netl.doe.gov/File%20Library/Events/2014/carbon_storage/9---Tip-Meckel.pdf
Gulf Petrochemical Industries Company (GPIC) Capture Project,Gulf Petrochemicals Industries Company (GPIC),Petrochemical Plant,Capture,Active,Existing,Capture Ongoing,Bahrain,,Busaiteen,,,Separation,Mitsubishi HI Gasification (KS-1),450,Metric Tons Per Day,Captured CO2 from a fertilizer plant will be used as feedstock for urea and methanol synthesis processes. The technology can recover approximately 90% of the CO2 in flue gas and up to 450 metric tons of CO2 per day.,10/25/2007,52000000,US Dollar,http://www.gpic.com/responcibility/CDRmoved/
H3 Capture Project - CO2CRC,CO2CRC - Cooperative Research Centre for Greenhouse Gas Technologies,Hazelwood Power Station,Capture,Completed,Existing,Capture Complete,Australia,Victoria,Morwell,1675,Megawatt,Post-Combustion,Solvents,0,Metric Tons Per Day,Based at Hazelwood power station and run in parallel with the Hazelwood Post-Combustion 2030 Project. Effort has tested a range of solvents and different process configurations using the solvent post-combustion capture plant.,07/09/2009,4260000,Australian Dollar,http://ieaghg.org/docs/General_Docs/12%20cap/3-9%20sec.pdf
Halten CO2 Project (Draugen-Heidrun),Statoil,Statoil Hydro Natural Gas Processing Facility,Capture and Storage,Terminated,Planned,Plant Design,Norway,More og Romsdal,Tjeldbergodden,860,Megawatt,Post-Combustion,Amines,6849.99977238476,Metric Tons Per Day,The project was cancelled due to poor financials.,01/01/2012,10000000000,Norwegian Kroner,http://sequestration.mit.edu/tools/projects/statoil_shell_halten_draugen.html
HARP-Heartland Area Redwater Project,ARC Resources,Multiple Source Possibilities,Storage,Hold,In Development,Site Characterization,Canada,Alberta,between Fort McMurray and Edmonton,,,Industrial,,100000,Metric Tons Total,"The Heartland Area Redwater Project, located in the Heartland Region of Alberta (Canada), aims to demonstrate the feasibility of CO2 storage in onshore carbonate rocks in North America (the Redwater Leduc Reef). Effort on hold pending CO2 legislation.",01/01/2008,3400000,Canadian Dollar,http://www.zeroco2.no/projects/heartland-area-redwater-storage-project-harp
Hassi-Touareg Sequestration,Schlumberger,Commercial Source,Storage,Potential,,Site Characterization,Algeria,,Hassi Touareg,,,,,,,,,,US Dollar,http://globalenergyobservatory.org/form.php?pid=40145 
Hazelwood Post-Combustion 2030 Project,International Power Australia,Hazelwood Power Station,Capture and Storage,Terminated,Existing,Plant Closed,Australia,Victoria,Morewell,1635,Megawatt,Post-Combustion,Amines,50,Metric Tons Per Day,"The project develops an innovative retrofit low emission technology project at its 1,600-MW brown coal-fired Hazelwood power station in the Latrobe Valley. The project includes a coal drying demonstration phase and a CO2 capture part. Plant closed 2017.",12/01/2008,333400000,Australian Dollar,http://www.coalresearchforum.org/20070620_sinclair.pdf
Hiroshima Pilot Plant,Mitsubishi Heavy Industries,Hiroshima R&D Center,Capture and Storage,Active,Existing,Plant in Operation,Japan,,Hiroshima R&D Center,1,Metric Tons Per Day,Post-Combustion,Solvents,,,The Hiroshima pilot plant has a CO2 recovery capacity of 2 metric tons per day and commenced operation in 2004.,01/01/2014,,US Dollar,No project-specific link identified.
Hodonin CO2 Separation Project,CEZ Group,Hodonin Power Plant,Capture,Potential,Existing,Planning,Czech Republic,,Hodonin,105,Megawatt,,,,,"CEZ is considering two localities for modern low-emission lignite-biomass technologies, Hodonin and North Bohemia. ",01/15/2015,,US Dollar,http://www.cez.hu/en/news/764.html
HRL IDGCC Project,HRL Developments,HRL IDGCC Plant,Capture,Active,Existing,Developing Infrastructure,Australia,Victoria,Loy Yang VIC 3844,600,Megawatt,Pre-Combustion,,40,% Reduction,The IGCC plant will use brown coal as its feedstock which has a high moisture content. The plant will incorporate a pressurized drying process to remove the moisture. HRL will build a 100-MW intermediate-scale plant before full-scale utilization.,01/01/2010,750000000,Australian Dollar,http://www.zeroco2.no/projects/mulgrave
Hunterston Station CCS,Ayrshire Power,Hunterston Power Station,Capture and Storage,Terminated,Existing,Planning,Scotland,,"Hunterston, North Ayrshire",1852,Megawatt,Post-Combustion,Ammonia Absorption Technology,,,The project included two 926-MW power plants and a carbon capture demonstration.,,,US Dollar,http://www.zeroco2.no/projects/hunterston
Hunton Energy Freeport Plant,Hunton Energy,Hunton Energy Freeport Plant,Capture and Storage,Terminated,In Development,Permitting,United States,Texas,Freeport,400,Megawatt,Pre-Combustion,,21919.9992716312,Metric Tons Per Day,The CO2 was to be captured and pumped under pressure into pipelines for use in enhanced oil recovery in the Texas oilfields.,,2400000,US Dollar,https://www.compelo.com/energy/news/newshunton_energy_to_build_texas_plant_for_dow_chemical/  
Hydrogen Energy California Project,Hydrogen Energy International LLC,HECA IGCC Plant,Capture and Storage,Terminated,Planned,Engineering design,United States,California,Tupman,400,Megawatt,Oxy-Combustion,Rectisol,7123.99976328015,Metric Tons Per Day,The IGCC plant was to produce hydrogen from coal and petcoke mixes to combust in combustion turbines and the CO2 will be used for EOR in the Elk Hills Oil Field.,12/01/2019,4028136691,US Dollar,http://www.netl.doe.gov/research/coal/project-information/FE0000663
Hydrogen Power Abu Dhabi Project,Hydrogen Energy International LLC,Hydrogen-Fired Power Generation Plant,Capture and Storage,Hold,Planned,Plant Design,United Arab Emirates,,Abu Dhabi,420,Megawatt,Pre-Combustion,Not Currently Specified,4657.99984522164,Metric Tons Per Day,"Commercial-scale 400-MWe hydrogen-fired power plant with CCS technology will be built in Abu Dhabi, UAE. The capture capacity will in the order of 1.7 million metric tons of CO2/yr for EOR. Currently in FEED.",01/01/2015,2500000000,US Dollar,https://sequestration.mit.edu/tools/projects/hydrogen_power_abu_dhabi.html
ICO2N Network,ICO2N,Commercial Source,Capture and Storage,Potential,In Development,Developing Infrastructure,Canada,Alberta,Alberta,,,,,,,The proposed Integrated CO2 Network targets large sources of industrial CO2 emissions in Alberta including coal-fired electrical generation and energy production. The CO2 will be captured and transported to geological sites for sequestration or EOR.,01/01/2007,,US Dollar,http://www.zeroco2.no/projects/developers/ico2n
Illinois Industrial Carbon Capture and Storage Project,Archer Daniels Midland,Archer Daniels Midland Biofuels Plant,Capture and Storage,Active,Existing,Plant in Operation,United States,Illinois,Decatur,,,Industrial,Amines,2739.99990895391,Metric Tons Per Day,Develop and demonstrate an integrated system of CO2 processing and transport from an ethanol plant to the Mt. Simon Sandstone Formation (saline reservoir) for geologic sequestration.,11/06/2009,207942199,US Dollar,https://www.netl.doe.gov/research/coal/project-information/FE0001547
In Salah Gas Storage Project,In Salah Gas,In Salah Gas Processing Plant,Capture and Storage,Hold,Existing,Injection Ongoing,Algeria,,In Salah Gas Fields,,,Separation,Ethanol-Amino Solvent,3287.99989074469,Metric Tons Per Day,"The In Salah Gas Project is a joint venture targeted to produce natural gas located in the Ahnet - Timmimoun Basin, in Central Algeria. Natural gas will be processed and the CO2 is compressed and injected into wells 1,800 meters deep.",08/01/2004,2700000000,US Dollar,https://sequestration.mit.edu/tools/projects/in_salah.html
Initial Engineering Design of a Post-Combustion CO2 Capture System for Duke Energy’s East Bend Station Using Membrane-Based Technology,EPRI - Electric Power Research Institute,"East Bend Generating Station, Duke Energy",Capture,Active,Existing,Engineering design,United States,Kentucky,,600,Megawatt,Post-Combustion,MTR Polaris™ Membrane System,,,"Complete an initial design of a commercial-scale, post-combustion CO2 capture system for application at an existing coal-fueled generating unit.",,2031729,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0031589
"Initial Engineering, Testing, and Design of a Commercial-Scale, Post-Combustion CO2 Capture System on an Existing Coal-Fired Generating Unit",University of North Dakota,Minnkota Power Cooperative’s Milton R. Young Station Unit 2,Capture,Active,Existing,Engineering design,United States,North Dakota,Center,455,Megawatt,Post-Combustion,Mitsubishi Heavy Industries’ (MHI’s) KM CDR Process™ Using the KS-1™ Solvent,,,"Complete an initial design of a commercial-scale, post-combustion CO2 capture system for application at an existing coal-fueled generating unit.",,7500000,US Dollar,https://www.energy.gov/articles/energy-department-invests-44m-advanced-carbon-capture-technologies-projects
Integrated Carbon Capture and Storage in Kansas,University of Kansas Center for Research,,Storage,Potential,,Planning,United States,Kansas,Kansas,,,,,,,"Conduct a feasibility study of three of Kansas’ largest CO2 point sources, nearby storage sites (with greater than 50 million metric tons capacity), and potential CO2 transportation networks.",03/01/2017,1481090,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029474
Integrated Carbon Capture and Storage in the Louisiana Chemical Corridor,Louisiana State University,,Storage,Potential,,Planning,United States,Louisiana,South Louisiana,,,,,,,Conduct a detailed sub-basinal evaluation of the potential for CO2 storage in both depleted oil and gas fields and saline reservoirs in South Louisiana.,02/01/2017,1339660,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029274
Integrated CCS Pre-Feasibility in the Northwest Gulf of Mexico,University of Texas at Austin,,Storage,Potential,,Planning,United States,Texas,Gulf of Mexico,,,,,,,"Demonstrate that saline and depleted hydrocarbon storage reservoirs within a storage complex can store industrial CO2 emissions safely, permanently, and economically.",02/01/2017,1393179,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029487
"Integrated Commercial Carbon Capture and Storage Pre-Feasibility Study at Dry Fork Station, Wyoming",University of Wyoming,Dry Fork Station,Storage,Potential,,Planning,United States,Wyoming,"Dry Fork Station, Wyoming",,,,,,,Identify saline storage opportunities proximal to the Dry Fork Station (DFS) power plant in the Powder River Basin.,03/01/2017,1809702,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029375
Integrated Mid-Continent Stacked Carbon Storage Hub,Battelle Memorial Institute,,Storage,Potential,,Planning,United States,Ohio,Mid-Continent Region of the United States,,,,,,,"This project is to study the pre-feasibility of an integrated CO2 storage hub in the mid-continent region of the United States, with the ultimate objective of storing anthropogenic CO2.",02/01/2017,1350097,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029264
"Integrated Pre-Feasibility Study for CO2 Geological Storage in the Cascadia Basin, Offshore Washington State and British Columbia",Columbia University,,Storage,Potential,,Planning,United States,New York,Cascadia Basin ,,,,,,,Conduct a comprehensive assessment to determine the suitability of an ocean basalt reservoir in the Cascadia Basin offshore from Washington State and British Columbia for the safe and permanent storage of 50 million tons of carbon dioxide.,02/01/2017,1120655,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029219
"Integrated Pre-Feasibility Study of a Commercial-Scale Commercial Carbon Capture Project in Formations of the Rock Springs Uplift, Wyoming",University of Wyoming,,Storage,Potential,,Planning,United States,Wyoming,Rock Springs Uplift,,,,,,,"Perform a phase I pre-feasibility assessment for secure, commercial-scale CO2 capture and storage at the Rock Springs Uplift (RSU), Wyoming.",03/01/2017,1498242,US Dollar,https://www.netl.doe.gov/research/coal/project-information/proj?k=FE0029302
Intermountain Power Agency,EPRI - Electric Power Research Institute,Intermountain Generation Station,Capture,Active,Existing,Plant in Operation,United States,Utah,Delta,950,Megawatt,Post-Combustion,,,,"EPRI, along with other corporations and companies, is conducting a study on impacts and ability of retrofitting advanced amine-based CO2 capture technology with current plants.",01/01/2009,,US Dollar,https://www.epri.com/#/pages/product/1019395/?lang=en 
ION Engineering Commercial Carbon Capture Design & Costing (C3DC),ION Engineering LLC,"Gerald Gentleman Station Unit 2, Nebraska Public Power District",Capture,Active,Existing,Engineering design,United States,Nebraska,Sutherland,700,Megawatt,Post-Combustion,ION’s Solvent CO2 Capture Technology,,,"300-MW slip stream project, will address market requests to provide their CO2 for EOR opportunities.",,3497461,US Dollar,https://www.energy.gov/articles/energy-department-invests-44m-advanced-carbon-capture-technologies-projects
Jamestown BPU,Jamestown BPU,Samuel J. Carlson Generating Station,Capture and Storage,Potential,Planned,Permitting,United States,New York,Jamestown,40,Megawatt,Post-Combustion,,98,% Reduction,"Proposal is to add on to long-planned Circulating Fluidized Bed (CFB) combustion unit added to existing plant, replacing two older coal-fired boilers.",01/01/2013,145000000,US Dollar,No project-specific link identified.
Japan-China EOR Project,Chinese Government,Harbin Thermal Power Plant,Capture and Storage,Hold,Existing,Planning,China,Heilungkiang,"Hearbin, Heilongjiang",2739.99990895391,Metric Tons Per Day,Post-Combustion,,2739.99990895391,Metric Tons Per Day,CO2 captured from a PC plant in Harbin to be transported 100 km west to heavy-oil field in Daqing. The field produces more than 40 million metric tons (> 316 million barrels/yr); the CO2-enabled EOR is expected to boost output by 1.5 to 2 million metric tons/yr.,01/01/2009,25000000000,Japanese Yen,https://ge.lokaler.de/Carbon-Cioxide-Removal/harbin-thermal-power-plant-japan-china-eor-project/
JAPEX CCS Project,"JAPEX - Japan Petroleum Exploration Co., Ltd.",Commercial Source,Storage,Active,,Injection Ongoing,Japan,Honshu Island,"Nagaota, Niigata",,,,,547.999990895391,Metric Tons Per Day,Plans to develop a carbon capture business and seeks to lead a project to trap and store pollution from coal-fired power plants in oil wells in northeastern China.,01/01/2009,,Japanese Yen,http://www.japex.co.jp/english/business/innovate/ccs.html
JCOP Yubari/Ishikari ECBM Project,General Environment Technos Co. Ltd.,Commercial Source,Storage,Completed,,Injection Complete,Japan,Hokkaido Prefecture,Yubari,,,,,415,Metric Tons Total,The Yubari project is a research and development project on CO2 sequestration in unmineable coal seams with the production of coal bed methane.,01/01/2002,2685000000,Japanese Yen,http://www.adv-res.com/Coal-Seq_Consortium/ECBM_Sequestration_Knowledge_Base/Coal-Seq%20VI%20Forum%202008/Fujioka_JCOAL_Yubari.pdf
Jilin Oil Field EOR,China National Petroleum Company,Songyuan Natural Gas Processing Plant,Capture and Storage,Active,In Development,Injection Ongoing,China,,"Songyuan, Jilin Province",,,Industrial,Amines,2191.99992716312,Metric Tons Per Day,Project is in 2 phases. Phase I will inject 200K metric tons and Phase II will increase to 800K to 1 million tons/year. Pipeline is expected to be 21 miles long. Cumulative CO2 injection of one million metric tons was reached in the first half of 2016.,01/01/2016,,US Dollar,http://www.globalccsinstitute.com/projects/petrochina-jilin-oil-field-eor-project-phase-2
Joffre Viking EOR Project,Penn West Energy Corporation,NOVA Chemicals Ethylene Plant,Capture and Storage,Completed,Existing,,Canada,Alberta,Joffre,,,Industrial,Not Currently Specified,39566,Metric Tons Total,"First EOR in Canada in the Joffre Viking field east of Red Deer, Alberta. Penn West Petroleum operates the project using CO2 from two of the Nova Chemical Corp Ethylene plants. Project End Date: December 31, 2011.",08/01/2003,,Canadian Dollar,http://www.csaregistries.ca/files/projects/prj_5957_1079.pdf
Judy Creek EOR,Pengrowth,Judy Creek Gas Conservation Plant,Storage,Active,Existing,Post-Injection Monitoring,Canada,Alberta,Edmonton,,,,,164.399994537234,Metric Tons Per Day,CO2 injections will continue until second quarter of 2009 and monitoring of operations will be from 2009-2010.,04/01/2007,6000000,Canadian Dollar,http://www.canadiancleanpowercoalition.com/files/2912/7360/8189/ST3%20-%20enhanced.pdf
K12-B CO2 Injection Project,GDF SUEZ E&P Nederland B.V.,Gas de France's K12-B Platform,Capture and Storage,Active,Existing,Injection Ongoing,Netherlands,North Holland,North Sea,,,Separation,MDEA Gas Separation Process,54.7999981790781,Metric Tons Per Day,The goal is to test the potential of storing CO2 in a depleted gas field and evaluate the potential for enhanced gas recovery (EGR). The K12-B platform is compressing the CO2 and injecting it into the gas fields for storage and monitoring along with EGR.,05/01/2004,,US Dollar,http://ieaghg.org/docs/General_Docs/2modmon_pres/10.7%20Vincent%20Vandeweijer%20-%20Monitoring%20and%20Modelling%20at%20K12-B.pdf
Karsto NGCC Capture Project,Norwegian Government,Karsto NGCC Pilot Plant,Capture and Storage,Hold,Existing,Plant Design,Norway,,Karsto,420,Megawatt,Post-Combustion,Aker Kvaerner's Just Catch technology,273.999990895391,Metric Tons Per Day,The Karsto NGCC Power plant will have a CO2 capture pilot plant connected to the facility to demonstrate CO2 capture and seabed or EOR storage. Delayed in 2009 with no update on when it will start.,01/01/2009,1560000000,Norwegian Kroner,http://sequestration.mit.edu/tools/projects/naturkraft_karsto.html
Kedzierzyn,Zaklady Azotowe Kedzierzyn S.A.,Kedzierzyn Zero-Emission Plant,Capture and Storage,Terminated,In Development,Developing Infrastructure,Poland,Opole Province,"Kedzierzyn-Kozle, Opole Province, Poland",300,Megawatt,Pre-Combustion,Gas Separation,6849.99977238476,Metric Tons Per Day,"The first Zero-Emission Energy-Carbochemical Complex in the world. Also, they are planning the construction of a CO2 pipeline to a suitable storage area. Plant will burn up to 10% biomass fuel.",02/01/2009,1100000000,Euros,http://www.energieregion.nrw.de/_database/_data/datainfopool/100628_08-2_Lampert_Kedzierzyn_Project.pdf
Kemper County IGCC Project,Southern Company,Kemper County IGCC Plant,Capture and Storage,Terminated,Planned,Plant in Operation,United States,Mississippi,Kemper County,582,Megawatt,Pre-Combustion,Transport Integrated Gasification (TRIG),8219.99972686172,Metric Tons Per Day,Combined Cycle portion of the plant operating on natural gas only without capture.,11/17/2008,2014812860,US Dollar,http://www.netl.doe.gov/research/coal/project-information/fc26-06nt42391?k=NT42391
Kentucky NewGas project,Kentucky NewGas,Kentucky New Gas Plant,Capture and Storage,Terminated,Planned,Permitting,United States,Kentucky,Muhlenberg County,,,Pre-Combustion,ConocoPhillips E-Gas Gasification,13699.9995447695,Metric Tons Per Day,"Filed for air permit in December 2008. Build with CCS capability. Funding CCS research in western Kentucky through Kentucky Geological Survey. The CO2 test well will monitor 1,500 tons of CO2.",01/01/2017,3000000000,US Dollar,http://www.zeroco2.no/projects/kentucky-newgas
Klemetsrud Waste to Energy Plant,Oslo Municipality Waste-to-Energy Agency,Klemetsrud Waste-to-Energy Plant,Capture and Storage,Active,Existing,Capture Ongoing,Norway,,Oslo,,,Post-Combustion,Amines,,,The five-month test will employ Aker’s mobile test unit to investigate the effectiveness of the company’s amine-based CO2 capture technology for use on waste-to-energy plants. Several alternate capture techs will be sampled.,,,US Dollar,http://www.vivis.de/phocadownload/Download/2017_eaa/2017_EaA_133-144_Stuen.pdf
